,,,,,Population change (%),,,Net domestic migration (%),,,,
CBSA,NAME,State,2012 unemployment rate,2013 population,2000-2007,2007-2013,2012-2013,2000-2007,2008-2013 avg,2012-2013,Pop gain/loss,Domestic migration gain/loss
15260,Brunswick, GA,10,113807,0.090253792,0.119706808,0.003987473,0.062697102,0.002969955,0.001411495,G,G
15380,Buffalo-Cheektowaga-Niagara Falls, NY,8.5,1134115,-0.036944505,0.007238236,0.000306941,-0.043879404,-0.001177286,0.000495693,G,G
15500,Burlington, NC,9.4,154378,0.101147345,0.065969729,0.004594201,0.050547061,0.007506814,0.003051955,G,G
15540,Burlington-South Burlington, VT,4,214796,0.032892429,0.041915064,0.005029922,-0.00461947,0.000574232,0.001090206,G,G
15680,California-Lexington Park, MD,5.9,109633,0.160423481,0.091951275,0.005871937,0.102437559,0.004396841,-0.001045939,G,L
15940,Canton-Massillon, OH,7.4,403707,0.00399542,-0.011955692,6.94E-05,-0.019183421,-0.001567547,-3.47E-05,G,L
15980,Cape Coral-Fort Myers, FL,8.9,661115,0.318411591,0.129601342,0.025361257,0.301090747,0.01154349,0.025761404,G,G
16020,Cape Girardeau, MO-IL,11.4,97439,0.028132568,0.048035451,0.003625614,0.015514934,0.000771719,0.000803403,G,G
16060,Carbondale-Marion, IL,7.6,126738,-0.023418104,1.17703037,-0.000701743,-0.067050258,-0.0046208,-0.001884457,L,L
16180,Carson City, NV,11.1,54080,0.046735552,-0.016852401,-0.009813974,0.010066412,-0.005594695,-0.00895342,L,L
16220,Casper, WY,4.9,80973,0.079078643,0.127490706,0.029339605,0.038960844,0.015878926,0.024203903,G,G
16300,Cedar Rapids, IA,5.3,262421,0.060474327,0.040374727,0.003031021,0.014273522,0.001177743,-0.001261333,G,L
16540,Chambersburg-Waynesboro, PA,6.7,152085,0.096265189,0.070960791,0.00471025,0.072133274,0.00362508,0.001321248,G,G
16580,Champaign-Urbana, IL,8,235162,0.061640484,0.052240175,0.005210671,-0.018573851,-0.001637329,0.000465925,G,G
16620,Charleston, WV,6.9,224743,-0.019347936,-0.259254254,-0.004844202,-0.018669175,-0.000634963,-0.003241276,L,L
16700,Charleston-North Charleston, SC,7.5,712220,0.147236669,0.12695891,0.021108335,0.089753574,0.013905546,0.014678199,G,G
16740,Charlotte-Concord-Gastonia, NC-SC,9.4,2335358,0.231686856,0.414533481,0.017589619,0.142217683,0.012702194,0.011493732,G,G
16820,Charlottesville, VA,5.1,224055,0.101416606,0.163861618,0.006102489,0.037177316,0.003393076,0.002716708,G,G
16860,Chattanooga, TN-GA,7.2,541744,0.080880026,0.050278203,0.007232446,0.027287605,0.005213476,0.005464308,G,G
16940,Cheyenne, WY,6.1,95809,0.059404245,0.106326717,0.012491149,0.014655331,0.006578936,0.006446363,G,G
16980,Chicago-Naperville-Elgin, IL-IN-WI,8.9,9537289,0.036654291,0.009030213,0.00244165,-0.05390573,-0.003689783,-0.002761072,G,L
17020,Chico, CA,12.2,222090,0.067745162,0.019973271,0.004859377,0.057064818,0.002688078,0.003551779,G,G
17140,Cincinnati, OH-KY-IN,8.4,2137406,0.066338572,-0.005077933,0.003802642,-0.008156691,-0.001045969,-0.000266753,G,L
17300,Clarksville, TN-KY,9.9,272579,0.126551764,0.039703246,-0.009095503,0.029640897,0.001473923,-0.020804781,L,L
17420,Cleveland, TN,7.7,118538,0.066304275,0.065768771,0.007025682,0.039048194,0.005727158,0.005029267,G,G
17460,Cleveland-Elyria, OH,7.4,2064725,-0.022702132,-0.016415895,-6.78E-06,-0.053730817,-0.004124472,-0.00091198,L,L
17660,Coeur d'Alene, ID,8.4,144265,0.222574196,0.077231523,0.013965617,0.19436558,0.011974022,0.011632157,G,G
17780,College Station-Bryan, TX,5.7,236819,0.094204422,0.166935218,0.011143893,-0.004410441,0.005200888,0.00345845,G,G
17820,Colorado Springs, CO,9.2,678319,0.124337405,0.1170029,0.014205658,0.042878223,0.005587412,0.005705588,G,G
17860,Columbia, MO,4.7,170773,0.110295427,0.05329608,0.013309203,0.046354759,0.006389855,0.006022667,G,G
17900,Columbia, SC,8,793779,0.108507489,0.103049935,0.011787934,0.060348347,0.007621292,0.007297353,G,G
17980,Columbus, GA-AL,9.1,316554,0.016802285,0.103340827,0.018071301,-0.038179924,0.010871696,0.010249731,G,G
18020,Columbus, IN,6.4,79587,0.040969095,0.065764101,0.007864144,-0.010552435,0.004841523,0.003178583,G,G
18140,Columbus, OH,6.1,1967066,0.086343187,0.118065329,0.011377746,0.01348244,0.003459871,0.005366755,G,G
18580,Corpus Christi, TX,6.4,442600,0.020657293,0.075503975,0.013489532,-0.034280839,0.002612108,0.008424374,G,G
18700,Corvallis, OR,6.1,86591,0.043300894,0.061385338,0.001793234,-0.013018402,0.001883287,-0.001226341,G,L
18880,Crestview-Fort Walton Beach-Destin, FL,6.2,253618,0.058169461,0.401893749,0.023309299,0.021694372,0.005802302,0.017773492,G,G
19060,Cumberland, MD-WV,8.2,101225,-0.022358382,0.016682737,-0.005775294,-0.008316886,-0.00219014,-0.002848359,L,L
19100,Dallas-Fort Worth-Arlington, TX,6.7,6810913,0.184840117,0.106268959,0.016129376,0.044214913,0.008462035,0.007779136,G,G
19140,Dalton, GA,11.5,142212,0.104255284,0.065769358,-0.001775875,-0.026043132,-0.008508797,-0.007363212,L,L
19180,Danville, IL,9.9,80329,-0.034440785,-0.007180818,-0.004782259,-0.046159721,-0.00679161,-0.005352165,L,L
19300,Daphne-Fairhope-Foley, AL,6.8,195540,0.222534275,0.131499002,0.025514619,0.190940732,0.017290881,0.022866133,G,G
19340,Davenport-Moline-Rock Island, IA-IL,7.7,383681,-0.00122399,0.022168052,0.002851617,-0.035812357,-0.000123135,-0.00024308,G,L
19380,Dayton, OH,7.6,802489,-0.010057859,-0.044158687,-0.00086655,-0.039499206,-0.003529768,-0.002822513,L,L
19460,Decatur, AL,7.2,153374,0.022245806,0.027294222,-0.003637923,-0.006477234,-0.000333967,-0.005125573,L,L
19500,Decatur, IL,10.6,109278,-0.050263811,0.00511396,-0.006364909,-0.066869912,-0.005280527,-0.007319646,L,L
19660,Deltona-Daytona Beach-Ormond Beach, FL,8.8,600756,0.120678111,0.204477423,0.009083763,0.137006246,0.003717191,0.011415172,G,G
19740,Denver-Aurora-Lakewood, CO,7.9,2697476,0.116431832,0.101246144,0.019186955,0.010287044,0.009563567,0.011865369,G,G
19780,Des Moines-West Des Moines, IA,5.3,599789,0.126301194,0.102067103,0.017552164,0.047625256,0.007823607,0.010070524,G,G
19820,Detroit-Warren-Dearborn, MI,10.3,4294983,-0.00019944,-0.036260749,0.000501068,-0.060231912,-0.006154032,-0.001751757,G,L
20020,Dothan, AL,7,147691,0.06645403,0.056732159,0.000942041,0.045981397,0.004048579,-0.000420191,G,L
20100,Dover, DE,7.6,169416,0.19653211,0.11391939,0.011197326,0.14978483,0.009801704,0.007353468,G,G
20220,Dubuque, IA,4.8,95697,0.033866774,0.037320875,0.006679851,-0.002218935,0.001769622,0.003429341,G,G
20260,Duluth, MN-WI,6.7,279887,-0.006136149,0.021899383,0.001101656,-0.005653531,0.000562962,0.000461408,G,G
20500,Durham-Chapel Hill, NC,7.4,534578,0.124526283,0.115521537,0.017408566,0.028245857,0.010494098,0.011495325,G,G
20700,East Stroudsburg, PA,9.8,167148,0.178141388,0.015048278,-0.007646821,0.161299554,-0.003109186,-0.007510271,L,L
20740,Eau Claire, WI,6.1,164570,0.058497939,0.045639093,0.006495095,0.033230434,0.00269155,0.002250654,G,G
20940,El Centro, CA,28.3,176584,0.126197365,0.101131162,-0.001040912,-0.014031293,-0.004825001,-0.013922203,L,L
21060,Elizabethtown-Fort Knox, KY,7.9,151465,0.036659424,0.356702675,0.006679516,-0.011207681,-0.001719814,0.000996943,G,G
21140,Elkhart-Goshen, IN,9.6,200563,0.081042496,0.01093279,0.006549298,-0.021392647,-0.004822415,-0.000572123,G,L
21300,Elmira, NY,8.7,88506,-0.033169007,0.005087556,-0.007190371,-0.042699195,-0.001733658,-0.009119768,L,L
21340,El Paso, TX,9.3,831036,0.068854616,0.141802734,-0.001085416,-0.069120424,-0.001453257,-0.012624724,L,L
21500,Erie, PA,7.8,280294,-0.003312744,0.001751226,-0.001883749,-0.041402181,-0.002265299,-0.00333306,L,L
21660,Eugene, OR,8.6,356212,0.06586297,0.033061494,0.00481233,0.037004065,0.004029812,0.003492183,G,G
21780,Evansville, IN-KY,7.4,314280,0.020621472,-0.102223873,0.003387406,-0.001145799,-0.00014691,0.001497355,G,G
21820,Fairbanks, AK,6.2,100436,0.183438244,0.02535936,0.002945846,-0.005086445,-0.0090845,-0.00873768,G,L
22020,Fargo, ND-MN,4.2,223490,0.100502886,0.161844062,0.030929262,0.040076434,0.012088694,0.022566137,G,G
22140,Farmington, NM,6.8,126503,0.072381286,0.034459354,-0.014313542,-0.006173543,-0.011320274,-0.022526103,L,L
22180,Fayetteville, NC,10.2,377193,0.041924291,0.074571887,0.009871327,-0.036159849,-0.000560651,-0.001236928,G,L
22220,Fayetteville-Springdale-Rogers, AR-MO,5.5,491966,0.27054142,0.107699721,0.019139182,0.150831612,0.009170841,0.010589836,G,G
22380,Flagstaff, AZ,8.1,136539,0.091966038,0.071305835,0.004982997,0.003684125,-0.001594776,-0.00251726,G,L
22420,Flint, MI,9.5,415376,-0.00640672,-0.043102058,-0.005780402,-0.039417696,-0.012372641,-0.007659332,L,L
22500,Florence, SC,10,206261,0.029840629,0.036346827,0.000698632,0.002582014,-0.000350971,-0.000698632,G,L
22520,Florence-Muscle Shoals, AL,7,147317,0.000853111,0.029267509,0.00143434,0.001922996,0.002439093,0.00265115,G,G
22540,Fond du Lac, WI,6.6,101798,0.020455106,0.024372082,0.000816006,-0.00343999,-0.001556804,-0.001887627,G,L
22660,Fort Collins, CO,6.4,315988,0.133417868,0.101283602,0.017065462,0.074532297,0.01147131,0.011751415,G,G
22900,Fort Smith, AR-OK,7.3,279974,0.057184387,-0.032818146,-0.002323377,0.01277135,-0.001507326,-0.005248979,L,L
23060,Fort Wayne, IN,8.2,424122,0.047544404,0.035304973,0.006158576,-0.012557983,-0.001441008,5.22E-05,G,G
23420,Fresno, CA,15.2,955272,0.110355808,0.073474415,0.008116457,-0.00212741,-0.002079201,-0.002277378,G,L
23460,Gadsden, AL,7.2,103931,-0.000938894,0.006927221,-0.003642952,9.68E-05,0.000679743,-0.001322967,L,L
23540,Gainesville, FL,6.7,270382,0.102821456,0.051603569,0.006409588,0.052354359,0.001057936,0.001280429,G,G
23580,Gainesville, GA,7.5,187745,0.269380918,0.049804851,0.014536219,0.104992689,0.006653962,0.008602848,G,G
23900,Gettysburg, PA,6.6,101546,0.105323493,0.003012613,-0.000629859,0.081937682,-0.000145812,-0.00209625,L,L
24020,Glens Falls, NY,8.3,128430,0.032433171,0.000381676,-0.003120343,0.032666388,-0.000967688,-0.003143629,L,L
24140,Goldsboro, NC,8.9,124583,2.65E-05,0.099585172,0.00213163,-0.048783286,-0.002051567,-0.002139674,G,L
24220,Grand Forks, ND-MN,5.2,100748,-0.005568627,0.040903408,0.017687405,-0.033637793,-0.001229878,0.01120236,G,G
24260,Grand Island, NE,3.7,83989,0.017856357,0.20971064,0.007400566,-0.047089179,0.003900713,0.001691215,G,G
24300,Grand Junction, CO,9.2,147554,0.177047869,0.066997375,-0.00159686,0.155811657,0.008810004,-0.005501049,L,L
24340,Grand Rapids-Wyoming, MI,6.8,1016603,0.042578846,0.312199574,0.011049306,-0.027331744,-0.001603942,0.003971186,G,G
